"Treatment Function Name","total_patients_waiting"
Trauma and Orthopaedic Service,837743
Other - Medical Services,624597
Ophthalmology Service,602540
Ear Nose and Throat Service,587637
Gynaecology Service,565435
Other - Surgical Services,476457
Urology Service,386911
General Surgery Service,385499
Cardiology Service,382774
Dermatology Service,381323
Gastroenterology Service,379573
Oral Surgery Service,322932
Other - Paediatric Services,316672
Neurology Service,216273
Respiratory Medicine Service,185125
Other - Other Services,153307
Rheumatology Service,114276
Plastic Surgery Service,103747
Neurosurgical Service,56821
General Internal Medicine Service,37666
