"Provider Org Name","total_patients_waiting"
MID AND SOUTH ESSEX NHS FOUNDATION TRUST,176895
MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,172193
ROYAL FREE LONDON NHS FOUNDATION TRUST,139987
NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,130781
BARTS HEALTH NHS TRUST,128332
UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,117449
UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,114061
GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,107138
UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,96841
NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,91723
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,91407
EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,89272
IMPERIAL COLLEGE HEALTHCARE NHS TRUST,87439
OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,86985
LEEDS TEACHING HOSPITALS NHS TRUST,85760
BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,84671
KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,83880
LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,83520
THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,82021
HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,81319
