"Treatment Function Name","waiting_52_weeks_or_more"
Trauma and Orthopaedic Service,23056
Ear Nose and Throat Service,15490
Gynaecology Service,13160
Oral Surgery Service,9136
General Surgery Service,8207
Other - Surgical Services,7929
Urology Service,6818
Other - Medical Services,5946
Dermatology Service,5283
Ophthalmology Service,5181
Other - Paediatric Services,4721
Cardiology Service,4159
Gastroenterology Service,3995
Plastic Surgery Service,3049
Neurology Service,2932
Other - Other Services,1744
Respiratory Medicine Service,1082
Neurosurgical Service,927
Rheumatology Service,779
General Internal Medicine Service,361
