"Treatment Function Name","RTT Part Description","total_patients"
Ear Nose and Throat Service,Completed Pathways For Admitted Patients,171
Ear Nose and Throat Service,Completed Pathways For Non-Admitted Patients,95
Gastroenterology Service,Completed Pathways For Non-Admitted Patients,703
General Surgery Service,Completed Pathways For Admitted Patients,361
General Surgery Service,Completed Pathways For Non-Admitted Patients,3078
Gynaecology Service,Completed Pathways For Admitted Patients,76
Gynaecology Service,Completed Pathways For Non-Admitted Patients,304
Ophthalmology Service,Completed Pathways For Admitted Patients,3287
Ophthalmology Service,Completed Pathways For Non-Admitted Patients,1653
Other - Medical Services,Completed Pathways For Admitted Patients,57
Total,Completed Pathways For Admitted Patients,4864
Total,Completed Pathways For Non-Admitted Patients,7505
Trauma and Orthopaedic Service,Completed Pathways For Admitted Patients,133
Urology Service,Completed Pathways For Admitted Patients,779
Urology Service,Completed Pathways For Non-Admitted Patients,1672
