"Commissioner Parent Name","Commissioner Org Name","incomplete_pathways_total"
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NHS CHORLEY AND SOUTH RIBBLE (SUB ICB LOCATION),50806
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NHS GREATER PRESTON (SUB ICB LOCATION),34580
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NHS EAST LANCASHIRE (SUB ICB LOCATION),11780
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NHS FYLDE AND WYRE (SUB ICB LOCATION),10032
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NHS BLACKBURN WITH DARWEN (SUB ICB LOCATION),6840
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NHS WEST LANCASHIRE (SUB ICB LOCATION),6650
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NHS BLACKPOOL (SUB ICB LOCATION),6080
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,NHS WIGAN BOROUGH (SUB ICB LOCATION),5548
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,NHS BOLTON (SUB ICB LOCATION),3534
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NHS ROTHERHAM (SUB ICB LOCATION),1368
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NHS SHEFFIELD (SUB ICB LOCATION),874
NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,NHS MORECAMBE BAY (SUB ICB LOCATION),456
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NHS BARNSLEY (SUB ICB LOCATION),418
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,NHS SOUTHPORT AND FORMBY (SUB ICB LOCATION),342
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,NHS ST HELENS (SUB ICB LOCATION),228
NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,NHS DONCASTER (SUB ICB LOCATION),152
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,NHS SOUTH SEFTON (SUB ICB LOCATION),114
"","",76
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,NHS NORTH CUMBRIA (SUB ICB LOCATION),76
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,NHS WARRINGTON (SUB ICB LOCATION),76
